,Home Team Initials,Away Team Initials,Weights,Home Team Goals
0,ALG,AUT,1,6
1,ALG,CHI,1,6
2,ALG,ESP,1,6
3,ALG,NIR,1,6
4,ALG,RUS,1,6
5,ALG,SVN,1,6
6,ANG,POR,1,1
7,ARG,BEL,4,54
8,ARG,BIH,1,54
9,ARG,BRA,3,54
10,ARG,BUL,3,54
11,ARG,CHI,1,54
12,ARG,CIV,1,54
13,ARG,CMR,1,54
14,ARG,CRO,1,54
15,ARG,ENG,3,54
16,ARG,ESP,1,54
17,ARG,FRA,2,54
18,ARG,FRG,2,54
19,ARG,GDR,1,54
20,ARG,GER,1,54
21,ARG,GRE,1,54
22,ARG,HAI,1,54
23,ARG,HUN,2,54
24,ARG,IRN,1,54
25,ARG,ITA,1,54
26,ARG,JAM,1,54
27,ARG,JPN,1,54
28,ARG,KOR,2,54
29,ARG,MEX,3,54
30,ARG,NED,1,54
31,ARG,NGA,3,54
32,ARG,NIR,1,54
33,ARG,PER,1,54
34,ARG,POL,1,54
35,ARG,ROU,1,54
36,ARG,SCG,1,54
37,ARG,SLV,1,54
38,ARG,SUI,3,54
39,ARG,URS,1,54
40,ARG,URU,1,54
41,ARG,USA,1,54
42,AUS,CHI,1,6
43,AUS,ESP,1,6
44,AUS,FRG,1,6
45,AUS,JPN,1,6
46,AUS,NED,1,6
47,AUS,SRB,1,6
48,AUT,ESP,1,13
49,AUT,FRA,2,13
50,AUT,FRG,1,13
51,AUT,HUN,1,13
52,AUT,NIR,1,13
53,AUT,SCO,1,13
54,AUT,SUI,1,13
55,AUT,SWE,1,13
56,AUT,TCH,2,13
57,AUT,URU,1,13
58,AUT,USA,1,13
59,BEL,ALG,1,18
60,BEL,ESP,1,18
61,BEL,HUN,1,18
62,BEL,KOR,2,18
63,BEL,KSA,1,18
64,BEL,MAR,1,18
65,BEL,MEX,2,18
66,BEL,NED,1,18
67,BEL,RUS,2,18
68,BEL,SLV,2,18
69,BEL,URS,1,18
70,BEL,URU,1,18
71,BEL,USA,2,18
72,BIH,IRN,1,1
73,BOL,ESP,1,1
74,BRA,ALG,1,82
75,BRA,ARG,1,82
76,BRA,AUS,1,82
77,BRA,AUT,2,82
78,BRA,BEL,1,82
79,BRA,BOL,1,82
80,BRA,BUL,1,82
81,BRA,CHI,5,82
82,BRA,CHN,1,82
83,BRA,CIV,1,82
84,BRA,CMR,1,82
85,BRA,COL,2,82
86,BRA,CRC,1,82
87,BRA,CRO,2,82
88,BRA,DEN,1,82
89,BRA,ENG,3,82
90,BRA,ESP,3,82
91,BRA,FRA,4,82
92,BRA,GDR,1,82
93,BRA,GER,2,82
94,BRA,GHA,1,82
95,BRA,ITA,3,82
96,BRA,MAR,1,82
97,BRA,MEX,4,82
98,BRA,NED,3,82
99,BRA,NOR,1,82
100,BRA,NZL,1,82
101,BRA,PER,2,82
102,BRA,POL,4,82
103,BRA,PRK,1,82
104,BRA,ROU,1,82
105,BRA,RUS,1,82
106,BRA,SCO,3,82
107,BRA,SUI,1,82
108,BRA,SWE,5,82
109,BRA,TCH,5,82
110,BRA,TUR,2,82
111,BRA,URS,2,82
112,BRA,URU,1,82
113,BRA,USA,1,82
114,BRA,WAL,1,82
115,BRA,YUG,3,82
116,BUL,GER,1,7
117,BUL,GRE,1,7
118,BUL,ITA,2,7
119,BUL,MAR,1,7
120,BUL,NED,1,7
121,BUL,URU,1,7
122,CAN,FRA,1,1
123,CHI,AUS,1,14
124,CHI,AUT,2,14
125,CHI,CMR,1,14
126,CHI,ESP,1,14
127,CHI,FRA,1,14
128,CHI,GDR,1,14
129,CHI,ITA,1,14
130,CHI,MEX,1,14
131,CHI,SUI,2,14
132,CHI,URS,1,14
133,CHI,USA,1,14
134,CHI,YUG,1,14
135,CHN,CRC,1,1
136,CIV,JPN,1,3
137,CIV,POR,1,3
138,CIV,SCG,1,3
139,CMR,AUT,1,11
140,CMR,BRA,1,11
141,CMR,COL,1,11
142,CMR,CRO,1,11
143,CMR,DEN,1,11
144,CMR,GER,1,11
145,CMR,KSA,1,11
146,CMR,NED,1,11
147,CMR,ROU,1,11
148,CMR,SWE,1,11
149,CMR,URS,1,11
150,COL,CIV,1,7
151,COL,ENG,1,7
152,COL,GRE,1,7
153,COL,ROU,1,7
154,COL,TUN,1,7
155,COL,URU,2,7
156,CRC,BRA,1,7
157,CRC,ENG,1,7
158,CRC,GRE,2,7
159,CRC,POL,1,7
160,CRC,SCO,1,7
161,CRC,TUR,1,7
162,CRO,AUS,1,3
163,CRO,MEX,2,3
164,CUB,ROU,2,2
165,CZE,GHA,1,2
166,CZE,ITA,1,2
167,DEN,ENG,1,7
168,DEN,ESP,1,7
169,DEN,FRA,1,7
170,DEN,FRG,1,7
171,DEN,JPN,1,7
172,DEN,SEN,1,7
173,DEN,URU,1,7
174,ECU,CRC,1,4
175,ECU,CRO,1,4
176,ECU,FRA,1,4
177,ECU,GER,1,4
178,ENG,ALG,1,35
179,ENG,ARG,2,35
180,ENG,AUT,1,35
181,ENG,BEL,2,35
182,ENG,BRA,1,35
183,ENG,BUL,1,35
184,ENG,CHI,1,35
185,ENG,CMR,1,35
186,ENG,ECU,1,35
187,ENG,EGY,1,35
188,ENG,FRA,2,35
189,ENG,FRG,1,35
190,ENG,IRL,1,35
191,ENG,ITA,1,35
192,ENG,KUW,1,35
193,ENG,MAR,1,35
194,ENG,MEX,1,35
195,ENG,NED,1,35
196,ENG,PAR,2,35
197,ENG,POL,1,35
198,ENG,POR,2,35
199,ENG,ROU,1,35
200,ENG,SUI,1,35
201,ENG,SWE,1,35
202,ENG,TCH,2,35
203,ENG,TRI,1,35
204,ENG,TUN,1,35
205,ENG,URU,1,35
206,ENG,USA,1,35
207,ESP,BEL,1,30
208,ESP,BRA,2,30
209,ESP,BUL,1,30
